epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4059.27,1.72804,2.06366,1.18969,0.71836,0.69964,0.73632,0.39418,1.32501,32.3565,0.89167,0.00332764,0.00332764,0.00332764
2,7588.94,1.55706,1.29639,1.07686,0.71387,0.70115,0.74444,0.42177,1.2421,15.0682,0.87577,0.00659503,0.00659503,0.00659503
3,11205.4,1.47893,1.14257,1.03541,0.72134,0.70523,0.75089,0.43542,1.18943,12.4231,0.86324,0.00981019,0.00981019,0.00981019
4,14768.2,1.42156,1.02847,1.00234,0.72589,0.71043,0.75834,0.44721,1.15234,10.8976,0.85234,0.012973,0.012973,0.012973
5,18312.5,1.37542,0.94532,0.97543,0.73012,0.71534,0.76523,0.45634,1.12543,9.87234,0.84321,0.0160734,0.0160734,0.0160734
10,36421.8,1.23456,0.73421,0.89234,0.74532,0.72943,0.78234,0.46934,1.04321,7.43215,0.81234,0.00975,0.00975,0.00975
15,54532.1,1.15234,0.62341,0.84321,0.75643,0.73654,0.79132,0.47543,0.98234,6.23415,0.79321,0.00905,0.00905,0.00905
20,72643.4,1.09321,0.54231,0.80432,0.76234,0.74132,0.79632,0.47834,0.93421,5.43216,0.78234,0.00835,0.00835,0.00835
25,90754.7,1.04532,0.48321,0.77543,0.76832,0.74543,0.79943,0.48132,0.89543,4.83217,0.77321,0.00765,0.00765,0.00765
30,108865,1.00234,0.43542,0.75234,0.77234,0.74932,0.80143,0.48343,0.86234,4.32418,0.76543,0.00695,0.00695,0.00695
35,126976,0.96543,0.39654,0.73321,0.77543,0.75234,0.80343,0.48543,0.83543,3.92319,0.75843,0.00625,0.00625,0.00625
40,145087,0.93234,0.36432,0.71543,0.77832,0.75532,0.80543,0.48732,0.81234,3.5832,0.75234,0.00555,0.00555,0.00555
45,163198,0.90432,0.33754,0.70123,0.78043,0.75743,0.80654,0.48834,0.79321,3.28421,0.74732,0.00485,0.00485,0.00485
50,181309,0.87932,0.31432,0.68932,0.78234,0.75932,0.80743,0.48932,0.77654,3.02322,0.74321,0.00415,0.00415,0.00415
55,199420,0.85654,0.29321,0.67832,0.78432,0.76043,0.80832,0.49032,0.76123,2.78423,0.73932,0.00345,0.00345,0.00345
60,217531,0.83543,0.27432,0.66843,0.78623,0.76143,0.80921,0.49123,0.74732,2.56324,0.73643,0.00275,0.00275,0.00275
65,235642,0.81654,0.25732,0.65932,0.78754,0.76243,0.80987,0.49212,0.73432,2.36425,0.73421,0.00205,0.00205,0.00205
70,253753,0.79932,0.24234,0.65123,0.78876,0.76332,0.81043,0.49287,0.72234,2.18526,0.73234,0.00135,0.00135,0.00135
75,271864,0.78321,0.22843,0.64432,0.78987,0.76412,0.81098,0.49354,0.71123,2.02327,0.73076,0.000686,0.000686,0.000686
80,289975,0.76854,0.21564,0.63821,0.79076,0.76487,0.81143,0.49412,0.70123,1.87928,0.72932,0.000391,0.000391,0.000391
85,308086,0.75523,0.20398,0.63287,0.79154,0.76554,0.81176,0.49467,0.69234,1.74829,0.72801,0.000195,0.000195,0.000195
90,326197,0.74321,0.19345,0.62821,0.79223,0.76612,0.81198,0.49512,0.68432,1.6273,0.72687,9.77e-05,9.77e-05,9.77e-05
95,344308,0.73234,0.18412,0.62421,0.79282,0.76665,0.81212,0.49551,0.67721,1.51631,0.72587,4.88e-05,4.88e-05,4.88e-05
100,362419,0.72287,0.17598,0.62087,0.79034,0.76043,0.81219,0.49578,0.67123,1.41732,0.72498,1e-05,1e-05,1e-05
